Id,Movie,Studio Dirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
305,Genius Within: The Inner Life of Glenn Gould,LorberFilms,Lorber Films,"$167,508 ","$17,034 ",9
306,The Disappearance of Alice Creed,AnchorBa…,Anchor Bay Entertainment,"$166,980 ","$40,258 ",12
307,De Mai Tinh,Variance…,Variance Films,"$165,987 ","$49,313 ",8
308,Rann,Studio18,Studio 18,"$165,873 ","$117,088 ",51
309,Terkel i knibe,IndicanP…,Indican Pictures,"$161,507 ","$3,648 ",12
310,71: Into the Fire,CJ Entertainment,CJ Entertainment,"$159,335 ","$115,927 ",20
311,Welcome to the Rileys,SamuelGo…,Samuel Goldwyn Films,"$152,857 ","$42,145 ",11
312,Red Riding: The Year of Our Lord 1983,IFCFilms,IFC Films,"$151,644 ",$0 ,7
313,The Cremaster Cycle,Internati…,International Film Circuit,"$151,239 ","$7,982 ",2
314,Red Riding: The Year of Our Lord 1974,IFCFilms,IFC Films,"$148,826 ","$14,526 ",9
315,Carlos,IFCFilms,IFC Films,"$145,526 ","$20,006 ",7
316,Prince,VivaEnte…,Viva Entertainment,"$144,826 ",$0 ,54
317,Le père de mes enfants,IFCFilms,IFC Films,"$144,022 ","$10,414 ",7
318,The Weathered Underground,IndicanP…,Indican Pictures,"$140,091 ","$1,010 ",22
319,Love Ranch,United Arab Emirates,United Arab Emirates,"$137,885 ","$44,220 ",11
320,Pure Country 2: The Gift,WarnerBros.,Warner Bros.,"$133,771 ",$0 ,0
321,The Eclipse,Magnolia…,Magnolia Pictures,"$133,411 ","$13,207 ",12
322,Tau ming chong,Media Asia Entertainment Group,Media Asia Entertainment Group,"$129,078 ","$10,073 ",12
323,Joheunnom nabbeunnom isanghannom,IFCFilms,IFC Films,"$128,486 ","$4,775 ",15
324,Stonewall Uprising,FirstRun…,First Run Features,"$128,203 ","$15,729 ",10
325,"Lovely, Still",Monterey…,Monterey Media,"$127,564 ","$4,584 ",17
326,Centurion,Magnolia…,Magnolia Pictures,"$123,570 ","$42,826 ",19
327,Valley of the Hearts Delight,IndicanP…,Indican Pictures,"$118,666 ","$5,164 ",8
328,The Big Uneasy,SelfDist…,Self Distributed,"$116,698 ",$0 ,6
329,The Greatest,Paladin,Paladin,"$115,862 ","$33,616 ",19
330,Breaking Upwards,IFCFilms,IFC Films,"$115,592 ","$15,467 ",73
331,Bran Nue Dae,Freestyle…,Freestyle Releasing,"$113,568 ","$23,527 ",55
332,Marwencol,Open Face,Open Face,"$112,036 ","$3,276 ",6
333,Parlez-moi de la pluie,IFCFilms,IFC Films,"$111,844 ","$16,290 ",6
334,Touching Home,CFI,CFI,"$110,594 ","$45,333 ",7
335,Kynodontas,KinoInte…,Kino International,"$110,248 ","$6,686 ",5
336,Best Worst Movie,Area23a,Area23a,"$109,895 ","$5,503 ",2
337,Blood Done Sign My Name,Paladin,Paladin,"$109,383 ","$82,739 ",95
338,Wild Target,Freestyle…,Freestyle Releasing,"$109,338 ","$23,174 ",13
339,Contracorriente,TheFilm…,The Film Collaborative,"$108,620 ","$7,051 ",3
340,After.Life,AnchorBa…,Anchor Bay Entertainment,"$108,596 ","$59,946 ",41
341,Bellamy,IFCFilms,IFC Films,"$107,612 ","$20,635 ",4
342,The Romantics,Fourofa…,Four of a Kind Productions,"$106,524 ","$45,527 ",14
343,Saint John of Las Vegas,IndieVest…,IndieVest Pictures,"$102,645 ","$21,666 ",14
344,Alle Anderen,CinemaGuild,Cinema Guild,"$102,042 ","$10,810 ",5
345,George A. Romeros Survival of the Dead,Magnolia…,Magnolia Pictures,"$101,740 ","$43,757 ",20
346,Freakonomics,Magnolia…,Magnolia Pictures,"$101,270 ","$31,893 ",20
347,Feed the Fish,Strand,Strand,"$101,170 ",$0 ,4
348,The Good Guy,Roadside…,Roadside Attractions,"$100,688 ","$34,712 ",9
349,8: The Mormon Proposition,RedFlag…,Red Flag Releasing,"$100,280 ","$42,566 ",16
350,Bhutto,FirstRun…,First Run Features,"$100,202 ","$8,275 ",4
351,Kings of the Evening,IndicanP…,Indican Pictures,"$98,926 ",$802 ,5
352,I Spit on Your Grave,AnchorBa…,Anchor Bay Entertainment,"$93,051 ","$32,440 ",12
353,Ishqiya,VivaEnte…,Viva Entertainment,"$91,468 ","$58,521 ",18
354,Crazy on the Outside,Freestyle…,Freestyle Releasing,"$88,335 ","$64,438 ",74
355,Khelein Hum Jee Jaan Sey,VivaEnte…,Viva Entertainment,"$87,846 ",$0 ,24
356,Kisses,Oscillosc…,Oscilloscope Pictures,"$81,680 ","$15,485 ",11
357,Waking Sleeping Beauty,WaltDisney,Walt Disney,"$80,741 ","$33,115 ",5
358,Samâ uôzu,GKIDS,GKIDS,"$78,182 ","$1,412 ",14
359,Night Catches Us,Magnolia…,Magnolia Pictures,"$76,185 ","$13,562 ",9
360,Prodigal Sons,FirstRun…,First Run Features,"$73,544 ","$6,102 ",11
361,Enemies of the People,Internati…,International Film Circuit,"$73,171 ","$2,277 ",6
362,La siciliana ribelle,MusicBox…,Music Box Films,"$71,239 ","$5,922 ",6
363,Rosencrantz and Guildenstein are Undead,IndicanP…,Indican Pictures,"$71,007 ","$14,370 ",4
364,Leaves of Grass,Telepathi…,Telepathic Studios,"$70,066 ",$0 ,6
365,Living in Emergency,BevPictures,Bev Pictures,"$69,047 ","$19,605 ",10
366,Strange Powers: Stephin Merritt and the Magneti…,Variance…,Variance Films,"$68,719 ","$4,620 ",5
367,Budrus,BalconyR…,Balcony Releasing,"$68,353 ",$0 ,4
368,2012: Time for Change,Mangusta…,Mangusta Productions,"$68,339 ","$9,009 ",2
369,John Rabe,Strand,Strand,"$67,519 ",$0 ,6
370,Dulha Mil Gaya,VivaEnte…,Viva Entertainment,"$67,511 ","$52,656 ",40
371,Le Amiche,TheFilm…,The Film Collaborative,"$67,050 ","$10,092 ",1
372,Dancing Across Borders,FirstRun…,First Run Features,"$66,166 ","$5,204 ",5
373,Rush: Beyond the Lighted Stage,Banger Films,Banger Films,"$63,696 ",$0 ,11
374,Cool It,Roadside…,Roadside Attractions,"$62,713 ","$26,847 ",42
375,Hatchet II,Vitagraph…,Vitagraph Films,"$62,000 ","$52,604 ",68
376,Alamar,FilmMove…,Film Movement,"$61,614 ","$7,668 ",3
377,God of Vampires,Nocturnal…,Nocturnal Features,"$56,705 ","$10,395 ",10
378,Looking for Eric,IFCFilms,IFC Films,"$55,804 ","$6,743 ",11
379,The Nature of Existence,WalkingS…,Walking Shadows,"$54,645 ","$2,977 ",4
380,The Lottery,Variance…,Variance Films,"$54,543 ","$16,435 ",3
381,The Harimaya Bridge,ElevenArts,Eleven Arts,"$54,473 ","$1,226 ",1
382,Harlan: In the Shadow of Jew Suss,Zeitgeist,Zeitgeist,"$54,305 ","$9,258 ",5
383,Tirez sur le pianiste,JanusFilms,Janus Films,"$51,990 ",$145 ,1
384,O Estranho Caso de Angélica,CinemaGuild,Cinema Guild,"$49,429 ","$7,499 ",2
385,Gedo Senki (Tales from Earthsea),WaltDisney,Walt Disney,"$48,658 ","$20,614 ",5
386,Le code a changé,IFCFilms,IFC Films,"$46,714 ","$15,378 ",2
387,Ca$h,Roadside…,Roadside Attractions,"$46,488 ","$16,469 ",43
388,William S. Burroughs: A Man Within,Oscillosc…,Oscilloscope Pictures,"$46,380 ","$6,510 ",4
389,Defendor,SonyPict…,Sony Pictures,"$44,462 ",$0 ,4
390,Boxing Gym,Zipporah,Zipporah,"$43,710 ","$7,500 ",7
391,Cropsey,Breaking Glass Pictures,Breaking Glass Pictures,"$42,392 ","$6,305 ",3
392,The Oath,Zeitgeist,Zeitgeist,"$42,273 ","$5,760 ",4
393,Oscar et la dame Rose,KlockWorx,KlockWorx,"$41,803 ","$41,803 ",34
394,The Red Baron,Monterey…,Monterey Media,"$40,789 ","$13,931 ",19
395,44 Inch Chest,ImageEnt…,Image Entertainment,"$39,033 ","$4,185 ",5
396,Nine Nation Animation,TheWorld…,The World According to Shorts,"$38,382 ","$2,834 ",2
397,The Legend of Pale Male,BalconyR…,Balcony Releasing,"$38,083 ","$12,910 ",4
398,Larmée du crime,LorberFilms,Lorber Films,"$37,031 ","$8,102 ",3
399,Banlieue 13: Ultimatum,Magnolia…,Magnolia Pictures,"$36,136 ","$11,870 ",9
400,Deadfall Trail,Nocturnal…,Nocturnal Features,"$35,855 ","$7,430 ",5
401,Le Refuge,Strand,Strand,"$34,525 ","$11,124 ",5
402,Guy and Madeline on a Park Bench,Variance…,Variance Films,"$33,841 ","$3,233 ",5
403,Barbe Bleue,Strand,Strand,"$33,490 ","$8,370 ",3
404,36 vues du Pic Saint Loup,CinemaGuild,Cinema Guild,"$33,216 ","$5,326 ",5
405,Ahead of Time,Vitagraph…,Vitagraph Films,"$33,024 ","$12,790 ",3
406,Spoken Word,Variance…,Variance Films,"$32,961 ","$2,343 ",4
407,Videocracy,KinoInte…,Kino International,"$32,790 ","$8,324 ",1
408,In My Sleep,MorningS…,Morning Star Pictures,"$31,858 ","$9,285 ",2
409,180 South,Magnolia…,Magnolia Pictures,"$31,745 ","$10,269 ",4
410,In Search of Memory,IcarusFilms,Icarus Films,"$31,052 ","$8,553 ",1
411,Who is Harry Nilsson (and Why is Everybody Talk…,LorberFilms,Lorber Films,"$30,975 ","$6,078 ",3
412,GasLand,GasLandP…,GasLand Productions,"$30,846 ","$2,641 ",2
413,Valhalla Rising,IFCFilms,IFC Films,"$30,638 ","$7,905 ",2
414,Dead Awake,NewFilms…,New Films Cinema,"$30,600 ","$30,600 ",55
415,Saint Misbehavin': The Wavy Gravy Movie,ArgotPic…,Argot Pictures,"$29,893 ",$0 ,3
416,Lbs.,TrulyIndie,Truly Indie,"$29,866 ","$11,690 ",1
417,Multiple Sarcasms,Multiple Avenue Releasing,Multiple Avenue Releasing,"$29,731 ","$16,025 ",15
418,Shanghai Red,IndicanP…,Indican Pictures,"$29,566 ","$1,146 ",3
419,Deux de la vague,LorberFilms,Lorber Films,"$28,808 ","$5,676 ",1
420,Expecting Mary,RockyMou…,Rocky Mountain Pictures,"$28,700 ","$28,700 ",54
421,BoyBand,ArtigoAj…,Artigo Ajemian Films,"$28,336 ","$7,591 ",2
422,Rec] 2,Magnolia…,Magnolia Pictures,"$27,766 ","$8,191 ",7
423,The Human Experience,Joseph Campo,Joseph Campo,"$27,170 ","$27,170 ",5
424,October Country,Internati…,International Film Circuit,"$26,185 ","$7,026 ",4
425,Eyes Wide Open,NewAmeri…,New American Vision,"$25,846 ","$6,818 ",1
426,The Exploding Girl,Oscillosc…,Oscilloscope Pictures,"$25,572 ","$5,910 ",3
427,Tamo i ovde,Gaiam Vivendi Entertainment,Gaiam Vivendi Entertainment,"$24,460 ","$6,352 ",4
428,Behind the Burly Q,FirstRun…,First Run Features,"$23,889 ","$3,958 ",2
429,Smash His Camera,Magnolia…,Magnolia Pictures,"$23,671 ","$2,367 ",1
430,Raw Faith,AliveMind,Alive Mind,"$23,667 ",$0 ,2
431,Handsome Harry,Paladin,Paladin,"$22,878 ","$12,562 ",4
432,The Other City,CabinFilms,Cabin Films,"$22,539 ","$10,396 ",2
433,Happy Tears,Roadside…,Roadside Attractions,"$22,464 ","$13,009 ",15
434,Hemingways Garden of Eden,Roadside…,Roadside Attractions,"$22,083 ","$12,404 ",14
435,And Everything is Going Fine,IFCFilms,IFC Films,"$22,080 ","$7,035 ",2
436,"Hugh Hefner: Playboy, Activist and Rebel",Phase4F…,Phase 4 Films,"$21,878 ","$11,145 ",4
437,Trash Humpers,Alcove Entertainment,Alcove Entertainment,"$21,826 ","$3,678 ",2
438,Toe to Toe,Strand,Strand,"$21,648 ","$5,205 ",3
439,Pandora and the Flying Dutchman,CohenMed…,Cohen Media,"$21,536 ",$0 ,2
440,Red Hill,SonyPict…,Sony Pictures,"$21,087 ","$8,650 ",5
441,The Good Heart,Magnolia…,Magnolia Pictures,"$20,930 ","$5,955 ",6
442,Douchebag,Paladin,Paladin,"$20,615 ","$2,966 ",6
443,Prince of Broadway,Elephant…,Elephant Eye Films,"$20,450 ","$9,770 ",1
444,The Genesis Code,AmericaS…,America Saga Releasing,"$20,300 ",$0 ,17
445,The Korean,IndicanP…,Indican Pictures,"$20,279 ","$4,002 ",2
446,Double Take,KinoInte…,Kino International,"$20,218 ","$4,650 ",1
447,Django,RialtoPi…,Rialto Pictures,"$19,391 ","$6,150 ",8
448,Neshoba: The Price of Freedom,FirstRun…,First Run Features,"$19,245 ","$4,645 ",2
449,The People Ive Slept With,PeoplePi…,People Pictures,"$19,137 ","$3,716 ",2
450,Off and Running,FirstRun…,First Run Features,"$18,262 ","$7,978 ",10
451,Nénette,KinoInte…,Kino International,"$18,009 ","$1,176 ",3
452,Great Directors,Paladin,Paladin,"$17,921 ","$5,440 ",4
453,Bitch Slap,Freestyle…,Freestyle Releasing,"$17,365 ","$12,254 ",3
454,Beetle Queen Conquers Tokyo,ArgotPic…,Argot Pictures,"$15,930 ","$6,498 ",1
455,Nora Inu,JanusFilms,Janus Films,"$15,648 ","$11,574 ",1
456,American Radical: The Trials of Norman Finkelstein,Typecast…,Typecast Releasing,"$15,451 ","$4,122 ",3
457,Paper Man,MPIMedia…,MPI Media Group,"$15,389 ","$8,613 ",3
458,"Hey, Hey,  Its Esther Blueburgerc",Monterey…,Monterey Media,"$15,222 ",$0 ,6
459,Don McKay,RLJE Films,RLJE Films,"$13,722 ","$8,919 ",7
460,Violet Tendencies,EmbremEn…,Embrem Entertainment,"$13,304 ","$5,264 ",1
461,Jim,Area23a,Area23a,"$13,015 ","$7,809 ",1
462,The Living Wake,Mangusta…,Mangusta Productions,"$12,232 ","$3,821 ",1
463,The Kids Grow Up,HBODocum…,HBO Documentary,"$12,095 ","$4,497 ",2
464,After the Cup: Sons of Sakhnin United,Variance…,Variance Films,"$12,085 ","$2,501 ",3
465,The Dry Land,Freestyle…,Freestyle Releasing,"$11,777 ","$7,351 ",5
466,White Wedding,TheLittl…,The Little Film Company,"$11,711 ","$5,860 ",4
467,Milh Hadha al-Bahr,LorberFilms,Lorber Films,"$11,662 ","$4,973 ",2
468,16 to Life,Waterdog…,Waterdog Films,"$11,574 ","$2,819 ",7
469,The Taqwacores,Strand,Strand,"$11,445 ","$3,532 ",2
470,Cherry,AGBO,AGBO,"$11,362 ","$2,416 ",3
471,Children of Invention,TheKids…,The Kids Are Alright Productions,"$11,183 ","$4,874 ",2
472,The Two Escobars,AllRise…,All Rise Films,"$10,942 ",$0 ,1
473,Waiting for Armageddon,FirstRun…,First Run Features,"$10,501 ","$2,579 ",1
474,Chun Feng Chen Zui De Ye Wan,Strand,Strand,"$10,478 ",$854 ,2
475,La Teta Asustada,OliveFilms,Olive Films,"$10,462 ","$1,914 ",2
476,GhettoPhysics: Will the Real Pimps and Hos Ple…,SamuelGo…,Samuel Goldwyn Films,"$10,229 ","$10,087 ",9
477,Cosa Voglio Di Piu,FilmMove…,Film Movement,"$10,035 ","$2,030 ",2
478,Circle,IndicanP…,Indican Pictures,"$10,024 ","$3,326 ",2
479,Down Terrace,Magnolia…,Magnolia Pictures,"$9,812 ","$3,088 ",2
480,Lourdes,Pallisade…,Pallisades Tartan,"$9,408 ","$7,416 ",1
481,Wonderful World,Magnolia…,Magnolia Pictures,"$9,309 ","$4,582 ",4
482,Broderskab,OliveFilms,Olive Films,"$8,979 ","$2,431 ",1
483,Brutal Beauty: Tales of the Rose City Rollers,CinemaPu…,Cinema Purgatorio,"$8,927 ",$0 ,2
484,The Freebie,Phase4F…,Phase 4 Films,"$8,300 ","$4,309 ",1
485,Stolen,IFCFilms,IFC Films,"$7,943 ","$1,035 ",2
486,Mugabe and the White African,FirstRun…,First Run Features,"$7,924 ","$1,907 ",1
487,Tales From the Script,FirstRun…,First Run Features,"$7,535 ","$1,938 ",1
488,Udaan,UTVCommu…,UTV Communications,"$7,461 ","$2,715 ",3
489,The Thorn in the Heart,Oscillosc…,Oscilloscope Pictures,"$7,376 ","$5,173 ",1
490,Jerusalema,AnchorBa…,Anchor Bay Entertainment,"$7,294 ","$4,958 ",4
491,Happiness Runs,Strand,Strand,"$7,199 ","$2,674 ",2
492,Only When I Dance,FilmMove…,Film Movement,"$7,150 ","$2,181 ",1
493,Logan,RealBean…,Real Bean Entertainment,"$7,137 ","$7,137 ",1
494,Misconceptions,RegentRe…,Regent Releasing,"$6,892 ","$3,796 ",2
495,Finding Bliss,Imagem Filmes,Imagem Filmes,"$6,783 ","$2,115 ",1
496,Mercy,IFCFilms,IFC Films,"$6,780 ","$1,776 ",2
497,The Last New Yorker,BrinkFilm,Brink Film,"$6,607 ","$4,172 ",1
498,Dream Boy,RegentRe…,Regent Releasing,"$6,534 ","$2,243 ",1
499,Watercolors,RegentRe…,Regent Releasing,"$6,305 ","$3,207 ",2
500,Manuela y Manuel,RegentRe…,Regent Releasing,"$6,291 ",$629 ,1
501,Det røde kapel,LorberFilms,Lorber Films,"$6,196 ","$2,459 ",2
502,Phyllis and Harold,RainbowR…,Rainbow Releasing,"$5,992 ",$0 ,1
503,BearCity,TLARelea…,TLA Releasing,"$5,980 ","$5,980 ",1
504,Sof Shavua BTel Aviv,FilmMove…,Film Movement,"$5,729 ","$3,220 ",1
505,Midnight Reckoning,WinterSt…,Winter Star Entertainment,"$5,673 ",$0 ,7
506,American Grindhouse,LorberFilms,Lorber Films,"$5,529 ",$0 ,2
507,Whiz Kids,Shadow,Shadow,"$5,427 ","$1,333 ",3
508,To Die is Hard,DrivingW…,Driving With our Eyes Shut,"$5,129 ",$112 ,1
509,Hadewijch,IFCFilms,IFC Films,"$5,006 ","$1,892 ",2
510,The Winning Season,Roadside…,Roadside Attractions,"$5,000 ",$0 ,0
511,The Oxford Murders,Magnolia…,Magnolia Pictures,"$4,803 ","$1,191 ",2
512,Inhale,IFCFilms,IFC Films,"$4,115 ","$3,030 ",2
513,Kimjongilia,KinoInte…,Kino International,"$3,987 ","$1,497 ",1
514,Just Say Love,RegentRe…,Regent Releasing,"$3,944 ","$1,257 ",1
515,Heartless,IFCFilms,IFC Films,"$3,697 ","$2,033 ",1
516,Speed-Dating,Rockstone…,Rockstone Releasing,"$3,394 ","$3,394 ",1
517,Murder in Fashion,RegentRe…,Regent Releasing,"$3,346 ","$1,046 ",2
518,My Year Without Sex,Strand,Strand,"$3,119 ",$528 ,1
519,Altiplano,FirstRun…,First Run Features,"$3,063 ","$1,269 ",1
520,Eichmann,RegentRe…,Regent Releasing,"$2,706 ",$573 ,1
521,Helena From the Wedding,FilmMove…,Film Movement,"$2,692 ","$2,692 ",1
522,Boogie Woogie,IFCFilms,IFC Films,"$2,618 ","$1,776 ",1
523,Daniel y Ana,Strand,Strand,"$2,372 ","$1,400 ",1
524,El Súperstar: The Unlikely Rise of Juan Francés,CinemaLibre,Cinema Libre,"$2,330 ","$2,330 ",1
525,You Won't Miss Me,ReelDiva…,Reel Diva Consultants,"$2,240 ","$2,240 ",1
526,Flickan,OliveFilms,Olive Films,"$2,201 ",$712 ,1
527,Sweethearts of the Prison Rodeo,CinemaPu…,Cinema Purgatorio,"$2,198 ","$2,198 ",2
528,Nobodys Perfect,LorberFilms,Lorber Films,"$2,122 ",$533 ,1
529,As Good as Dead,Alchemy,Alchemy,"$2,093 ","$1,494 ",1
530,Falling Awake,IFCFilms,IFC Films,"$1,978 ",$847 ,2
531,The Temptation of St. Tony,OliveFilms,Olive Films,"$1,963 ",$747 ,1
532,A Mothers Courage: Talking Back to Autism,FirstRun…,First Run Features,"$1,916 ",$822 ,2
533,45365,SeventhA…,Seventh Art Releasing,"$1,909 ",$312 ,1
534,Clear Blue Tuesday,CAVURele…,Cavu Releasing,"$1,780 ","$1,780 ",1
535,Carmo,FirstRun…,First Run Features,"$1,512 ",$835 ,1
536,Drool,Strand,Strand,"$1,403 ","$1,199 ",1
537,Convention,IFCFilms,IFC Films,"$1,220 ","$1,220 ",1
538,Suck,SelfDist…,Self Distributed,"$1,167 ",$0 ,1
539,Daddys Home,SelfDist…,Self Distributed,$796 ,$796 ,1
540,Shake Hands with the Devil,RegentRe…,Regent Releasing,$594 ,$86 ,1
541,The Magician,RegentRe…,Regent Releasing,$406 ,$117 ,1
542,Glorious Exit,ArtMattan…,Art Mattan Films,$245 ,$0 ,1
